votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips,state
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2013,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2016,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2020,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2050,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2060,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2068,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2070,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2090,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2100,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2105,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2110,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2122,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2130,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2150,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2164,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2170,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2180,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2185,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2188,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2195,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2198,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2220,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2230,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2240,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2261,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2270,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2275,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2282,Alaska
93003,130413,246588,0.377159472,0.528870018,"37,410",15.17%,AK,Alaska,2290,Alaska
5908,18110,24661,0.23956855,0.734357893,"12,202",49.48%,AL,Autauga County,1001,Alabama
18409,72780,94090,0.195653098,0.77351472,"54,371",57.79%,AL,Baldwin County,1003,Alabama
4848,5431,10390,0.466602502,0.522714148,583,5.61%,AL,Barbour County,1005,Alabama
1874,6733,8748,0.214220393,0.769661637,"4,859",55.54%,AL,Bibb County,1007,Alabama
2150,22808,25384,0.084699023,0.898518752,"20,658",81.38%,AL,Blount County,1009,Alabama
3530,1139,4701,0.750904063,0.242288875,"2,391",50.86%,AL,Bullock County,1011,Alabama
3716,4891,8685,0.427864134,0.563154865,"1,175",13.53%,AL,Butler County,1013,Alabama
13197,32803,47376,0.278558764,0.692396994,"19,606",41.38%,AL,Calhoun County,1015,Alabama
5763,7803,13778,0.418275512,0.56633764,"2,040",14.81%,AL,Chambers County,1017,Alabama
1524,8809,10503,0.1451014,0.838712749,"7,285",69.36%,AL,Cherokee County,1019,Alabama
2909,15068,18255,0.159353602,0.825417694,"12,159",66.61%,AL,Chilton County,1021,Alabama
3109,4102,7268,0.427765548,0.564391855,993,13.66%,AL,Choctaw County,1023,Alabama
5712,7109,12936,0.441558442,0.549551639,"1,397",10.80%,AL,Clarke County,1025,Alabama
1234,5230,6572,0.187766281,0.795800365,"3,996",60.80%,AL,Clay County,1027,Alabama
684,5738,6532,0.104715248,0.878444581,"5,054",77.37%,AL,Cleburne County,1029,Alabama
4194,15825,20513,0.204455711,0.771462,"11,631",56.70%,AL,Coffee County,1031,Alabama
7296,16718,24626,0.296272233,0.678875985,"9,422",38.26%,AL,Colbert County,1033,Alabama
3069,3413,6543,0.469050894,0.521626165,344,5.26%,AL,Conecuh County,1035,Alabama
1780,3376,5223,0.340800306,0.646371817,"1,596",30.56%,AL,Coosa County,1037,Alabama
2379,13222,15818,0.15039828,0.835883171,"10,843",68.55%,AL,Covington County,1039,Alabama
1663,4511,6252,0.265994882,0.721529111,"2,848",45.55%,AL,Crenshaw County,1041,Alabama
3730,32734,37278,0.100059016,0.878105049,"29,004",77.80%,AL,Cullman County,1043,Alabama
4408,13798,18617,0.236772842,0.741150561,"9,390",50.44%,AL,Dale County,1045,Alabama
12826,5784,18730,0.684783769,0.308809397,"7,042",37.60%,AL,Dallas County,1047,Alabama
3682,21779,26086,0.141148509,0.834892279,"18,097",69.37%,AL,DeKalb County,1049,Alabama
8436,27619,36905,0.228586912,0.748380978,"19,183",51.98%,AL,Elmore County,1051,Alabama
4698,10282,15213,0.308814829,0.675869322,"5,584",36.71%,AL,Escambia County,1053,Alabama
10350,32132,43474,0.238073331,0.739108433,"21,782",50.10%,AL,Etowah County,1055,Alabama
1358,6705,8196,0.165690581,0.818081991,"5,347",65.24%,AL,Fayette County,1057,Alabama
2197,9466,11955,0.18377248,0.791802593,"7,269",60.80%,AL,Franklin County,1059,Alabama
1522,9967,11659,0.130542928,0.854876061,"8,445",72.43%,AL,Geneva County,1061,Alabama
4006,838,4862,0.823940765,0.172357055,"3,168",65.16%,AL,Greene County,1063,Alabama
4772,3172,8010,0.595755306,0.396004994,"1,600",19.98%,AL,Hale County,1065,Alabama
2286,5623,8017,0.285144069,0.701384558,"3,337",41.62%,AL,Henry County,1067,Alabama
10547,30567,42030,0.250939805,0.727266238,"20,020",47.63%,AL,Houston County,1069,Alabama
3663,16643,20785,0.17623286,0.800721674,"12,980",62.45%,AL,Jackson County,1071,Alabama
151581,130614,290111,0.522493115,0.450220778,"20,967",7.23%,AL,Jefferson County,1073,Alabama
1035,5819,6931,0.149329101,0.839561391,"4,784",69.02%,AL,Lamar County,1075,Alabama
9877,27735,38813,0.254476593,0.714580166,"17,858",46.01%,AL,Lauderdale County,1077,Alabama
3611,10732,14623,0.246939752,0.73391233,"7,121",48.70%,AL,Lawrence County,1079,Alabama
20987,34321,57668,0.363928002,0.595148089,"13,334",23.12%,AL,Lee County,1081,Alabama
9340,28824,39400,0.237055838,0.731573604,"19,484",49.45%,AL,Limestone County,1083,Alabama
4882,1751,6676,0.731276213,0.262282804,"3,131",46.90%,AL,Lowndes County,1085,Alabama
7237,1394,8748,0.827274806,0.159350709,"5,843",66.79%,AL,Macon County,1087,Alabama
62435,89199,159473,0.39150828,0.559336063,"26,764",16.78%,AL,Madison County,1089,Alabama
5607,5224,10948,0.512148338,0.477164779,383,3.50%,AL,Marengo County,1091,Alabama
